pm25	pm10
6.2	10.8
6.2	10.8
6.2	10.8
6.2	10.8
6.2	10.7
6.2	10.6
6.2	10.6
6.1	10.7
6.1	10.8
6.1	10.9
6	10.8
6	10.7
6	10.6
6	10.6
6	10.5
6	10.4
6	10.4
6	10.4
6	10.4
6	10.4
6	10.5
6	10.6
6	10.6
5.9	10.5
5.9	10.5
5.9	10.8
5.9	11.1
5.9	11.4
5.8	11.3
5.8	11.2
5.7	11.1
5.6	10.9
5.6	10.8
5.6	10.6
5.6	10.7
5.6	10.8
5.6	10.9
5.6	10.7
5.5	10.5
5.5	10.3
5.4	10.2
5.4	10.1
5.3	10
5.4	10.1
5.4	10.2
5.4	10.3
5.4	10.1
5.3	9.9
5.3	9.7
5.3	9.8
5.3	9.9
5.3	10
5.3	10.1
5.3	10.1
5.3	10.1
5.3	10.2
5.4	10.3
5.4	10.3
5.4	10.3
5.4	10.3
5.4	10.2
5.3	10.2
5.3	10.3
5.3	10.3
5.3	10.4
5.3	10.4
5.3	10.5
5.3	10.3
5.3	10.2
5.3	10.1
5.3	10.1
5.3	10.1
5.3	10.1
5.3	10.1
5.3	10.1
5.3	10.2
5.3	10.5
5.4	10.8
5.4	11.2
5.4	11.1
5.4	10.9
5.4	10.8
5.4	11
5.4	11.1
5.4	11.3
5.3	10.9
5.3	10.5
5.3	10.2
5.3	10.1
5.3	10
5.3	9.9
5.3	10
5.3	10
5.3	10.1
5.2	9.9
5.2	9.8
5.1	9.6
5.1	9.6
5.1	9.6
5.1	9.6
5.1	9.5
5	9.5
5	9.4
5	9.2
5	9
5	8.8
5	9.4
5.1	10.1
5.2	10.7
5.1	10.5
5.1	10.3
5	10.1
5	10
5	9.9
4.9	9.8
4.9	10.1
4.8	10.4
4.8	10.6
4.8	10.5
4.7	10.3
4.7	10.2
4.7	10.3
4.8	10.4
4.8	10.5
4.8	10.5
4.8	10.5
4.8	10.5
4.9	10.6
4.9	10.7
4.9	10.8
5	10.9
5	11
5.1	11.1
5.1	11
5.1	10.9
5	10.9
5	10.5
4.9	10.2
4.8	9.8
4.8	9.8
4.8	9.7
4.8	9.7
4.8	9.4
4.8	9.2
4.8	9
4.8	9
4.7	8.9
4.7	8.9
4.7	8.9
4.8	8.9
4.8	8.9
4.8	8.9
4.8	8.9
4.8	8.9
4.9	8.9
4.9	9
5	9
5	9.2
5	9.3
5	9.4
5	9.5
5.1	9.5
5.1	9.5
5.1	9.4
5	9.3
5	9.2
4.9	8.6
4.9	8
4.9	7.5
4.9	7.5
4.9	7.5
5	7.5
5	7.7
5.1	7.9
5.1	8
5.1	7.7
5.1	7.4
5.1	7.1
5.1	7.1
5.1	7.1
5.1	7.2
5.1	7
5.1	6.8
5	6.6
5	6.7
5	6.8
5	6.9
5	6.7
4.9	6.6
4.8	6.4
4.8	6.4
4.7	6.3
4.7	6.2
4.7	6.3
4.7	6.4
4.7	6.5
4.7	6.9
4.7	7.3
4.7	7.6
4.8	7.7
4.8	7.8
4.8	7.8
4.8	7.9
4.9	7.9
4.9	8
5	8
5	8
5	8.1
5	8.1
5	8.1
5	8.1
5	8.1
5	8.1
5	8.2
5	8.1
4.9	8
4.9	8
4.9	7.9
5	7.8
5	7.7
5	7.8
5	7.8
5	7.9
5.1	8.1
